id,plan_id,project_id,comment,created_at
a78fef84-7dff-4c03-933e-9ce173ac1b97,2d41d1de-51fa-41ed-8acd-6ee63bcd316e,fd8a8811-029d-4b3e-af72-6830afff9369,Initial plan assignment,2024-10-16 21:52:47.511579+00
00a4f41c-0d93-488f-877c-0644fac14fbe,2d41d1de-51fa-41ed-8acd-6ee63bcd316e,5206a8ba-df9c-4f32-a735-ef55aa030c6c,Initial plan assignment,2024-10-21 21:35:24.623268+00
fa036d98-ed49-45a6-8fd2-14a856bc1607,2d41d1de-51fa-41ed-8acd-6ee63bcd316e,a5c94bc8-7102-4880-9ac0-d145823f4703,Initial plan assignment,2024-10-17 08:29:11.61693+00
053d3059-2b50-4781-ad2d-cd59b1c86a21,34a91812-c6ab-4e35-b011-7433bf68299d,1b076c5e-3565-440e-9e96-c3fe64eacf5c,Initial plan assignment,2024-10-23 01:12:53.661829+00
27cd7abe-c84d-4d58-b986-cd63ff36874e,28058da3-610f-4d2f-94d8-10bf0a340d6b,2210f9d4-50be-4c20-b99e-217ab62cfcb9,Initial plan assignment,2024-10-18 23:39:10.879518+00
5e137fff-9b8d-4836-8f56-4ed773485a37,28058da3-610f-4d2f-94d8-10bf0a340d6b,e44d4654-57bd-448a-accc-6dc1f64f2843,Initial plan assignment,2024-10-19 16:24:39.629916+00
a4717097-f207-42f6-b2c9-ebd54dd6ac2e,28058da3-610f-4d2f-94d8-10bf0a340d6b,a0bd91ce-0a9b-4b00-8f16-ae053179e566,Initial plan assignment,2024-10-21 09:10:41.675951+00
a3fa08a6-db44-4672-850d-369a83ffc92c,ef8e3ee9-ee6c-41d0-b1a0-d01e39d49d4d,0d6e3932-06ba-446e-9666-3197bb7b75d8,Initial plan assignment,2024-10-23 17:40:48.290099+00
7363d81c-867f-4a8c-90bc-e5549bc795ac,34a91812-c6ab-4e35-b011-7433bf68299d,4de1f347-d114-4985-b26d-307586d820ae,Initial plan assignment,2024-10-17 07:06:08.255806+00
3983c272-6231-44dc-abbe-90147380780b,2d41d1de-51fa-41ed-8acd-6ee63bcd316e,4921b920-3adf-43a7-b038-48f6638877d6,Initial plan assignment,2024-10-17 00:49:43.976267+00
