id,invoice_id,amount,description,project_id,type,month,year,has_updated_to_stripe,error,created_at,updated_at
d632e80e-7e2e-4ec2-9296-311c4d5c6690,inv_eda2b9d8-caec-4913-85ac-953fff43a439_11_2022,55,,12bd371e-a556-4384-8b8d-d32c3f338331,active-model-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
2e79ebd3-ff0e-44b0-bc62-67c157e65db3,inv_eda2b9d8-caec-4913-85ac-953fff43a439_11_2022,490,,12bd371e-a556-4384-8b8d-d32c3f338331,active-command-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
2704a40b-6de7-4e0d-98a7-4c000637a4ee,inv_2e7442ae-358b-4eb6-b258-5d45f022f1bc_11_2022,2010,,b8b01d67-5c7b-4c2e-926f-0a2803c98e7e,active-model-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
43739131-c701-4db6-81ff-df92358c979e,inv_2e7442ae-358b-4eb6-b258-5d45f022f1bc_11_2022,2520,,b8b01d67-5c7b-4c2e-926f-0a2803c98e7e,active-command-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
0e5a6a11-e700-4c37-90ca-9cbffbc7e3e0,inv_87c88305-bbe8-4e7a-96ee-60ab6005f957_11_2022,435,,639c1b17-ab12-43c1-a6be-ec9e78164cc7,active-model-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
a740fd00-44a6-4279-a8f7-a253775b22d1,inv_87c88305-bbe8-4e7a-96ee-60ab6005f957_11_2022,340,,639c1b17-ab12-43c1-a6be-ec9e78164cc7,active-command-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
10964533-e201-43b4-b2e2-85bd199955b4,inv_0ae3afa9-9d3d-4238-b743-3594b0b5f2cd_11_2022,1290,,4445381b-b151-41a9-82e1-34c2f5c38071,active-model-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
32aaa7c4-855e-4b56-9c7f-88c04734bd4f,inv_0ae3afa9-9d3d-4238-b743-3594b0b5f2cd_11_2022,2820,,4445381b-b151-41a9-82e1-34c2f5c38071,active-command-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
9b376479-5a9b-4d99-a934-f5e139b032af,inv_02114b93-b7ca-472a-a6a1-637a37afba88_11_2022,1530,,43dc301f-1460-4901-b1bf-a95bb1824993,active-model-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
18190334-8883-489b-bb11-b156bc6f1676,inv_02114b93-b7ca-472a-a6a1-637a37afba88_11_2022,1260,,43dc301f-1460-4901-b1bf-a95bb1824993,active-command-count,11,2022,f,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
